Id,Cod_pb,E_t,S_t_c_v_kgs,Rec_kgs,G_ti_kgs,Merm_kgs,Dif_pb_stc_kgs,Criterio
1,DCP,1,22.831,0.652,0,0.202,0.015,BA
2,DCP,1,6.14,0.19,0,0.046,0.024,BA
3,DCP,1,6.12,0.111,0,0.08,0.089,BA
4,DCP,1,6.8,0.041,0,0.116,0.023,BA
5,DCP,1,5.17,0.1,0,0.22,0.03,MA
6,DCP,2,6.11,0,0,0.055,0.005,BA
7,DCP,2,9.415,0,0,0.14,0.025,BA
8,DCP,2,10.23,0,0.26,0.2,0.06,BA
9,DCP,2,10.485,0,0.11,0.13,0,BA
10,DCP,1,7.875,0,0.055,0.045,0.005,BA
11,DCP,1,7.255,0,0.065,0.06,0.01,BA
12,DCP,1,7.26,0,0.1,0.1,0.015,BA
13,DCP,1,13.15,0,0.4,0.35,0.05,BA
14,DCP,1,10.2,0,0.44,0.41,0.15,MA
15,DCP,1,5.11,0,1.57,0.41,0.05,MA
16,DCP,2,12.61,0,0.47,0.12,0.015,BA
17,DCP,2,9.85,0,0.595,0.185,0.07,MA
18,DCP,2,9.85,0,0.6,0.175,0.025,MA
19,DCP,1,7.2,0,0,0.1,0,BA
20,DCP,1,5.3,0,0,0.1,0,BA
21,DCP,1,8.8,0,0,0.1,0,BA
22,DCP,1,5.05,0.25,0.4,0.1,0,MA
23,DCP,2,5.07,0,0,0.065,0.02,BA
24,DCP,2,7.415,0,0,0.075,0.035,BA
25,DCP,2,7.26,0,0,0.105,0.025,BA
26,DCP,2,6.425,0.21,0.225,0.185,0.065,MA
27,DCP,2,7.675,0,0.07,0.165,0.035,BA
28,DCP,2,7.36,0,0.115,0.3,0,BA
29,DCP,2,6.155,0.13,0.045,0.2,0.055,BA
30,DCP,2,7.42,0,0.075,0,0.095,BA
31,DCP,2,9.95,0,0.38,0.245,0.075,BA
32,DCP,2,10.9,0.11,0.585,0.1,0,MA
33,DCP,2,9.2,0,0.63,0.12,0.06,MA
34,DCP,2,7,0,0.1,0.2,0.035,BA
35,DCP,2,6.715,0.085,0.1,0.245,0.015,BA
36,DCP,2,10.39,0,0.44,0.305,0.135,MA
37,DCP,2,8.2,0,0.305,0.24,0.085,MA
38,DCP,2,5.34,0,0,0.195,0.085,MA
39,DCP,2,5.4,0,0.145,0.085,0.005,BA
40,DCP,2,4.9,0,0.105,0.07,0.075,BA
41,DCP,2,6.45,0,0,0.12,0.07,BA
42,DCP,2,5.13,0,0,0.08,0.035,BA
43,DCP,2,4.87,0,0,0.075,0,BA
44,DCP,2,6.605,0,0,0.115,0.04,BA
45,DCP,2,4.72,0,0,0.1,0.03,BA
46,DCP,2,7.255,0,0.63,0.3,0.04,MA
47,DCP,2,10.47,0,0.445,0.14,0.02,BA
48,DCP,2,7.255,0,0.035,0.085,0.005,BA
49,DCP,2,7.11,0,0.17,0.095,0,BA
50,DCP,2,5.295,0,0.12,0.14,0,BA
51,DCP,2,7.54,0,0.175,0.09,0.015,BA
52,DCP,2,10.16,0,0.85,0.185,0.075,MA
53,DCP,2,12.51,0,0.745,0.3,0,MA
54,DCP,2,10.975,0,0.67,0.14,0.01,MA
55,DCP,3,9,0,0.92,0.23,0.02,MA
56,DCP,3,11.4,0,0.74,0.32,0.05,MA
57,DCP,2,12.415,0.04,0,0.285,0.035,BA
58,DCP,2,8.555,0,0.42,0.215,0.04,MA
59,DCP,2,14.065,0,0.27,0.17,0.065,BA
60,DCP,2,6.43,0,0.08,0.04,0.005,BA
61,DCP,2,7.415,0,0.05,0.06,0.005,BA
62,DCP,2,7.28,0,0,0.075,0.03,BA
63,DCP,2,6.405,0,0.085,0.08,0.02,BA
64,DCP,2,6.205,0,0,0.045,0.03,BA
65,DCP,2,6.185,0,0,0.055,0.04,BA
66,DCP,2,11.48,0.115,0.2,0.325,0.005,BA
67,DCP,2,6.285,0,0,0.2,0.035,BA
68,DCP,2,5.32,0,0,0.155,0.035,BA
69,DCP,2,5.99,0,0,0.09,0.035,BA
70,DCP,2,5.265,0,0,0.07,0.07,BA
71,DCP,2,5.7,0.13,0,0.08,0,BA
72,DCP,2,7.1,0,0.95,0.37,0.09,MA
73,DCP,2,6.5,0,0.2,0.17,0.025,BA
74,DCP,2,6.8,0.7,0,0.227,0.068,MA
75,DCP,2,7.3,0,0,0.8,0.065,MA
76,DCP,2,7.91,0,0,0.095,0.03,BA
77,DCP,2,6.58,0,0,0.13,0.05,BA
78,DCP,2,8.6,0,0,0.11,0.02,BA
79,DCP,2,12.975,0.145,0,0.225,0.01,BA
80,DCP,2,12.245,0,0,0.34,0,BA
81,DCP,2,10.795,0,0,0.24,0.07,BA
82,DCP,2,5.195,0,0,0.15,0.04,BA
83,DCP,2,4.32,0,0,0.145,0.04,MA
84,DCP,2,5.13,0,0,0.15,0.025,BA
85,DCP,2,3.935,0,0,0.13,0.03,BA
86,DCP,2,5.88,0,0,0.15,0.055,BA
87,DCP,2,4.88,0,0,0.16,0.025,BA
88,DCP,2,5.58,0,0,0.23,0.04,MA
89,DCP,2,4.11,0.11,0,0.16,0,BA
90,DCP,2,14.695,0,0,0.12,0,BA
91,DCP,2,11.17,0,0,0.24,0.11,BA
92,DCP,2,7.8,0,0,0.32,0.1,MA
93,DCP,2,7.24,0,0.075,0.2,0.06,BA
94,DCP,2,8.665,0,0.235,0.43,0.05,MA
95,DCP,2,6.03,0,0.265,0.14,0.045,BA
96,DCP,2,6.83,0.135,0.27,0.23,0.03,MA
97,DCP,2,12.56,0.2,0.36,0.225,0.005,BA
98,DCP,2,7.32,0.2,0.105,0.45,0.005,MA
99,DCP,3,7.08,0,0.265,0.08,0.14,BA
100,DCP,3,6.1,0.53,0.26,0.195,0.06,MA
101,DCP,3,6.7,0,0.265,0.08,0.035,BA
102,DCP,3,5.9,0.535,0.1,0,0.075,MA
103,DCP,3,5.8,0.265,0.13,0,0.095,MA
104,DCP,3,14.3,0.31,0.075,0.215,0,BA
105,DCP,3,6.4,0.415,0.055,0.06,0.01,MA
106,DCP,3,6.2,0.415,0.11,0.195,0.03,MA
107,DCP,2,9.38,0,0.41,0.19,0,BA
108,DCP,2,9.805,0,0.215,0.175,0.015,BA
109,DCP,2,9.49,0,0.48,0.16,0.015,BA
110,DCP,2,6.65,0,0,0.135,0.03,BA
111,DCP,2,5.85,0,0,0.12,0.005,BA
112,DCP,2,5.735,0,0,0.05,0.035,BA
113,DCP,2,6.5,0.22,0.11,0,0.025,BA
114,DCP,2,8,0.63,0.12,0.345,0.085,MA
115,DCP,2,10.9,0.43,0.175,0,0.015,BA
116,DCP,2,7.9,0.665,0.18,0.305,0.005,MA
117,DCP,2,5.5,0.15,0.08,0,0.04,BA
118,DCP,2,5.3,0.05,0.14,0,0.05,BA
119,DCP,2,5.5,0.33,0.125,0,0.06,MA
120,DCP,2,6,0.26,0.105,0,0.03,BA
121,DCP,2,9.97,0,0.23,0.155,0.075,BA
122,DCP,2,12.38,0,0.285,0.175,0.03,BA
123,DCP,2,10.19,0,0.395,0.31,0.02,BA
124,DCP,2,9.655,0.1,0,0.1,0,BA
125,DCP,2,10.165,0,0,0.15,0.01,BA
126,DCP,2,9.925,0.175,0,0.105,0.04,BA
127,DCP,2,9.975,0,0,0.15,0.025,BA
128,DCP,2,11.325,0.055,0,0.125,0.1,BA
129,DCP,2,8.655,0,0.32,0.165,0.03,BA
130,DCP,2,10.97,0,0.5,0.285,0.04,BA
131,DCP,2,10.265,0,0.31,0.225,0.045,BA
132,DCP,3,11.7,0.14,0.12,0.1,0.01,BA
133,DCP,3,11.4,0.15,0,0.42,0,BA
134,DCP,3,11.7,0.14,0.12,0.1,0.015,BA
135,DCP,3,11.4,0.15,0,0.42,0,BA
136,DCP,2,11.55,0.11,0.26,0.41,0,BA
137,DCP,2,9.295,0,0.56,0.16,0,MA
138,DCP,2,11.725,0,0.145,0.24,0.095,BA
139,DCP,2,7.64,0.065,0,0.11,0.02,BA
140,DCP,2,11.14,0,0.62,0.21,0.045,MA
141,DCP,2,12.115,0,0.445,0.4,0.005,BA
142,DCP,2,10.35,0,0,0.09,0.05,BA
143,DCP,2,10.28,0,0.2,0.15,0.015,BA
144,DCP,2,11.49,0,0,0.19,0.065,BA
145,DCP,2,9.8,0.52,0.33,0,0.05,MA
146,DCP,2,11.2,0.64,0.46,0,0,MA
147,DCP,2,11.6,0.72,0.48,0,0.08,MA
148,DCP,3,10.565,0,0.5,0.5,0,MA
149,DCP,3,7.64,0,0.51,0.095,0.01,MA
150,DCP,2,6.975,0.05,0.11,0.12,0.035,BA
151,DCP,2,11.275,0.05,0.35,0.735,0.06,MA
152,DCP,2,6.675,0,0,0.195,0.055,BA
153,DCP,2,5.95,0,0.17,0.07,0.03,BA
154,DCP,2,5.885,0.075,0.315,0.11,0.015,MA
155,DCP,2,6.64,0,0,0.08,0.05,BA
156,DCP,2,6.6,0,0,0.16,0.01,BA
157,DCP,2,7.1,0,0,0.175,0,BA
158,DCP,2,6.145,0,0,0.045,0.04,BA
159,DCP,2,10.745,0,0,0.27,0.1,BA
160,DCP,2,11.31,0,0.85,0.08,0.015,MA
161,DCP,2,11.01,0,0.69,0.24,0.045,MA
162,DCP,2,7.885,0,0.545,0.205,0.03,MA
163,DCP,3,12.63,0.24,0.315,0.365,0.115,MA
164,DCP,2,8.98,0.23,0.5,0.055,0.17,MA
165,DCP,2,8.2,0,0.49,0.45,0.07,MA
166,DCP,2,7.91,0,0.28,0.345,0,MA
167,DCP,2,10.04,0,0.45,0.245,0.035,BA
168,DCP,3,5.46,0.245,0.055,0,0.08,BA
169,DCP,3,7.3,0,0.25,0,0.08,BA
170,DCP,3,5.15,0.47,0.12,0,0.01,MA
171,DCP,3,5.46,0.295,0.055,0,0,MA
172,DCP,2,12,0,1.205,0.12,0,MA
173,DCP,2,12.38,0,0.915,0.12,0.035,MA
174,DCP,2,13.61,0,1.23,0.155,0.035,MA
175,DCP,2,11.155,0,0,0.31,0.035,BA
176,DCP,2,12.125,0,0,0.315,0.04,BA
177,DCP,2,8.935,0,0,0.235,0.01,BA
178,DCP,2,12.215,0,0,0.39,0.145,MA
179,DCP,3,11,0.07,0.075,0.03,0,BA
180,DCP,2,5.68,0,0.325,0.32,0.065,MA
181,DCP,2,5.875,0,0.17,0.29,0.04,MA
182,DCP,2,5.715,0,0.145,0.215,0.09,MA
183,DCP,2,5.82,0,0,0,0.155,BA
184,DCP,2,10.78,0,0.99,0.57,0.17,MA
185,DCP,2,6.595,0.15,0.06,0,0.02,BA
186,DCP,2,7.86,0.155,0.095,0,0.02,BA
187,DCP,2,5.695,0,0.185,0.05,0.015,BA
188,DCP,2,7.76,0,0.225,0.045,0.01,BA
189,DCP,3,6.6,0.315,0.08,0,0.01,BA
190,DCP,3,7.6,0.085,0.075,0,0.06,BA
191,DCP,3,8.4,0.47,0.225,0,0.01,MA
192,DCP,3,7.2,0.15,0.145,0,0.005,BA
193,DCP,3,6.7,0.345,0,0.6,0.005,MA
194,DCP,3,7,0.095,0.075,0.075,0.035,BA
195,DCP,3,7.2,0.42,0.195,0.115,0.025,MA
196,DCP,3,7.6,0,0.195,0.05,0.06,BA
197,DCP,2,8.2,0,0.145,0.045,0.085,BA
198,DCP,2,7.1,0,0.125,0.32,0.06,MA
199,DCP,2,8.5,0,0.15,0.075,0.095,BA
200,DCP,2,8.9,0,0.11,0.07,0.075,BA
201,DCP,2,8.6,0,0.04,0.34,0.01,BA
202,DCP,2,8.6,0,0.105,0.135,0.08,BA
203,DCP,2,4.9,0,0,0.125,0.06,BA
204,DCP,2,5.4,0,0,0.105,0.095,BA
205,DCP,2,4.6,0,0,0.05,0.055,BA
206,DCP,2,5,0,0,0.085,0.055,BA
207,DCP,2,10.7,0,0.41,0.305,0.055,BA
208,DCP,2,7.6,0,0,0.135,0.065,BA
209,DCP,2,9.6,0,0,0.3,0.085,BA
210,DCP,2,10.3,0,0.12,0.095,0.045,BA
211,DCP,3,12.4,0.69,0,0.245,0.03,MA
212,DCP,3,11.3,0.48,0.595,0.31,0.075,MA
213,DCP,3,9,0.27,0.06,0.055,0.055,BA
214,DCP,3,3.4,0,0.04,0.06,0.08,BA
215,DCP,2,12.6,0,0.185,0.155,0.02,BA
216,DCP,2,9.3,0,0.03,0.07,0.09,BA
217,DCP,2,11.2,0,0.515,0.34,0.03,MA
218,DCP,2,10.7,0,0.085,0.11,0.09,BA
219,DCP,2,5,0,0,0.035,0.065,BA
220,DCP,2,5.3,0,0,0.065,0.05,BA
221,DCP,2,5.3,0,0,0.04,0,BA
222,DCP,2,5.8,0,0,0.05,0.075,BA
223,DCP,2,6,0,0.11,0.04,0.045,BA
224,DCP,2,14.5,0,0.77,0.455,0.065,MA
225,DCP,2,10.2,0,0.325,0.195,0.02,BA
226,DCP,2,5.2,0,0.04,0.045,0.04,BA
227,DCP,2,6.8,0,0,0.045,0.07,BA
228,DCP,2,5.1,0,0,0.145,0.01,BA
229,DCP,2,11,0,0.265,0.275,0.08,BA
230,DCP,3,10,0,0,0.18,0.16,BA
231,DCP,3,11.4,0,0,0.12,0.08,BA
232,DCP,3,6,0.275,0.115,0.055,0.065,MA
233,DCP,3,6.4,0.5,0,0.07,0.05,MA
234,DCP,3,6.25,0.095,0.11,0.045,0,BA
235,DCP,3,5.2,0.32,0.01,0.055,0.04,MA
236,DCP,2,5.2,0,0.835,0.075,0.04,MA
237,DCP,2,4.7,0,0,0.035,0.02,BA
238,DCP,2,7.1,0,0,0.04,0.085,BA
239,DCP,2,8.9,0,0.315,0.425,0.015,MA
240,DCP,3,9.7,0.375,0.155,0.32,0,MA
241,DCP,3,9.5,0.405,0.485,0.455,0.01,MA
242,DCP,2,11.815,0,0.52,0.325,0.035,BA
243,DCP,2,8.9,0,0.775,0.135,0.05,MA
244,DCP,2,10.22,0,0.565,0.12,0.01,MA
245,DCP,2,13.1,0,0.235,0.13,0.075,BA
246,DCP,2,9.11,0,0.32,0.52,0.005,MA
247,DCP,2,9.75,0,1.305,0.07,0,MA
248,DCP,2,8.515,0,0.36,0.39,0.055,MA
249,DCP,2,9.85,0,0.59,0.145,0,MA
250,DCP,2,7,0,0.225,0.275,0.035,MA
251,DCP,2,9,0,0.215,0.275,0.02,BA
252,DCP,2,11.4,0,0.495,0.285,0.015,BA
253,DCP,2,11,0,0.455,0.185,0.025,BA
254,DCP,2,10,0,0.625,0.36,0.055,MA
255,DCP,2,7.4,0,0.455,0.16,0,MA
256,DCP,2,11,0,0.4,0.3,0.05,BA
257,DCP,2,9.1,0,0.475,0.27,0.08,MA
258,DCP,2,7.6,0,0,0.17,0.095,BA
259,DCP,2,9.25,0,0.64,0.12,0.015,MA
260,DCP,2,6.6,0,0,0.07,0.07,BA
261,DCP,2,7.8,0,0,0.06,0.01,BA
262,DCP,2,7.57,0,0,0.065,0,BA
263,DCP,2,7.61,0,0,0.05,0.065,BA
264,DCP,2,5.1,0,0,0.145,0.08,MA
265,DCP,2,10.7,0,0.515,0.375,0.095,MA
266,DCP,2,8.8,0,0.38,0.255,0.015,BA
267,DCP,2,6.1,0,0,0.075,0.065,BA
268,DCP,2,6.1,0,0,0.1,0.085,BA
269,DCP,3,11.2,0,0.18,0.23,0.01,BA
270,DCP,2,9.8,0,0.375,0.485,0.01,MA
271,DCP,2,11.7,0,0.355,0.4,0.085,BA
272,DCP,2,10,0,0,0.155,0.04,BA
273,DCP,2,8.4,0,0,0.175,0.075,BA
274,DCP,2,12.3,0,0,0.255,0.085,BA
275,DCP,3,5.4,0,0,0.11,0.005,BA
276,DCP,3,7,0,0,0.07,0.015,BA
277,DCP,2,9.1,0,0.55,0.225,0.095,MA
278,DCP,2,5.1,0,0,0.135,0.045,BA
279,DCP,2,9.6,0,0.26,0.185,0.095,BA
280,DCP,2,13.1,0,0.265,0.27,0.065,BA
281,DCP,2,12.5,0,0.355,0.165,0.045,BA
282,DCP,2,5.4,0,0,0.11,0.02,BA
283,DCP,2,6.4,0,0,0.25,0.06,MA
284,DCP,2,6.2,0,0,0.18,0.08,MA
285,DCP,2,6.8,0,0,0.245,0.005,BA
286,DCP,2,5.8,0,0,0.19,0.025,BA
287,DCP,2,4.8,0,0,0.24,0.05,MA
288,DCP,2,8.7,0,0.345,0.18,0.05,BA
289,DCP,2,8.4,0,0,0.265,0.025,BA
290,DCP,2,10.6,0,0.475,0.32,0.025,MA
291,DCP,2,10.9,0,0.335,0.37,0.01,BA
292,DCP,2,10.6,0,0,0.16,0.045,BA
293,DCP,2,7.9,0,0,0.085,0.085,BA
294,DCP,2,11,0,0,0.315,0.01,BA
295,DCP,2,9.7,0,0.275,0.155,0.035,BA
296,DCP,2,11.3,0,0.205,0.175,0.045,BA
297,DCP,2,8,0,0.215,0.41,0.005,MA
298,DCP,3,7.7,0,0.365,0.245,0.075,MA
299,DCP,3,12.3,0.24,0.425,0.305,0.05,MA
300,DCP,2,10,0,0.49,0.53,0.01,MA
301,DCP,2,5.6,0.07,0,0.065,0.04,BA
302,DCP,2,5.52,0,0,0.065,0.005,BA
303,DCP,2,5.93,0.05,0,0.08,0.005,BA
304,DCP,2,5.9,0,0,0.045,0.09,BA
305,DCP,2,6.8,0,0.385,0.37,0.055,MA
306,DCP,2,11.6,0,0.13,0.62,0.05,MA
307,DCP,2,9.9,0,0.385,0.295,0.075,MA
308,DCP,2,4.9,0,0,0.105,0.005,BA
309,DCP,2,9.28,0,0.27,0.215,0,BA
310,DCP,2,7.8,0,0.27,0.15,0.065,BA
311,DCP,2,9.5,0,0,0.205,0.015,BA
312,DCP,2,9.5,0,0.465,0.535,0.155,MA
313,DCP,2,12.8,0,0.185,0.725,0.04,MA
314,DCP,2,7.8,0,0.4,0.05,0.08,BA
315,DCP,2,6.3,0,0,0.205,0.075,MA
316,DCP,2,5.3,0,0,0.25,0.03,MA
317,DCP,2,7.1,0,0,0.385,0.07,MA
318,DCP,3,11.2,0,0,0.265,0.06,BA
319,DCP,2,9.3,0,0.425,0.44,0,MA
320,DCP,2,9,0,0.315,0.53,0.095,MA
321,DCP,2,5.1,0,0,0.07,0.095,BA
322,DCP,2,5.6,0,0,0.045,0.005,BA
323,DCP,2,5.1,0,0,0.07,0.095,BA
324,DCP,2,5.89,0,0,0.09,0,BA
325,DCP,2,5.2,0,0,0.055,0.09,BA
326,DCP,2,6.6,0,0,0.075,0.005,BA
327,DCP,2,13.53,0,0.65,0.25,0,BA
328,DCP,2,9.92,0,0.145,0.285,0,BA
329,DCP,2,11.6,0,0.515,0.45,0.075,MA
330,DCP,3,9.2,0,0.43,0.375,0.035,MA
331,DCP,3,6.6,0,0.125,0.075,0.04,BA
332,DCP,3,6.1,0,0.26,0.065,0.015,BA
333,DCP,2,13.3,0,0.5,0.65,0.02,MA
334,DCP,2,11.3,0,0.38,0.74,0.04,MA
335,DCP,2,6.8,0,0.035,0.22,0.06,BA
336,DCP,2,10.9,0,0.095,0.35,0.085,BA
337,DCP,2,6.3,0,0,0.1,0.005,BA
338,DCP,2,5.8,0,0,0.195,0.085,MA
339,DCP,2,6.7,0,0,0.245,0.03,BA
340,DCP,2,5.3,0,0,0.105,0.095,BA
341,DCP,2,5.5,0,0,0.075,0.085,BA
342,DCP,2,4.8,0,0,0.07,0.075,BA
343,DCP,2,6,0,0,0.105,0.095,BA
344,DCP,2,5.4,0,0,0.095,0,BA
345,DCP,2,6.7,0,0,0.085,0.03,BA
346,DCP,2,5.5,0,0,0.07,0.09,BA
347,DCP,2,7.6,0,0,0.1,0.035,BA
348,DCP,2,6,0,0,0.1,0.075,BA
349,DCP,2,7.8,0,0,0.085,0.055,BA
350,DCP,2,5.4,0,0,0.08,0.095,BA
351,DCP,2,5.6,0,0,0.07,0.05,BA
352,DCP,2,6.3,0,0,0.18,0.025,BA
353,DCP,2,6.3,0,0,0.135,0.095,BA
354,DCP,2,9.7,0,0.205,0.305,0.08,BA
355,DCP,2,6.35,0,0,0.075,0.005,BA
356,DCP,2,5.095,0,0,0.045,0.005,BA
357,DCP,2,5.83,0,0,0.06,0.005,BA
358,DCP,2,6,0,0,0.05,0.065,BA
359,DCP,2,12.4,0,0.175,0.18,0.02,BA
360,DCP,2,11.8,0,0.315,0.35,0.055,BA
361,DCP,2,10.59,0,0.665,0.36,0.005,MA
362,DCP,2,9.7,0,0.425,0.4,0.03,MA
363,DCP,2,9.5,0,0.605,0.49,0.07,MA
364,DCP,2,11.4,0,0.305,0.425,0.09,MA
365,DCP,2,7.2,0,0,0.165,0.04,BA
366,DCP,2,4.6,0,0,0.195,0.025,MA
367,DCP,2,7.4,0,0.245,0.11,0.08,BA
368,DCP,2,5.3,0,0,0.055,0.055,BA
369,DCP,2,4.9,0,0,0.12,0.06,BA
370,DCP,3,10.6,0,0.17,0.215,0.07,BA
371,DCP,2,9.3,0,0.37,0.235,0.03,BA
372,DCP,2,10.25,0,0,0.145,0.005,BA
373,DCP,2,10.42,0,0,0.125,0.005,BA
374,DCP,2,10.7,0,0.175,0.16,0.01,BA
375,DCP,2,10.4,0,0.065,0.035,0.07,BA
376,DCP,2,8.9,0,0.115,0.045,0.02,BA
377,DCP,2,9,0,0.165,0.06,0.065,BA
378,DCP,2,10.6,0,0.045,0.35,0.02,BA
379,DCP,2,8.2,0,0,0.105,0.02,BA
380,DCP,2,11.7,0,0,0.405,0.04,BA
381,DCP,2,9.89,0,0.56,0.215,0.05,MA
382,DCP,2,9.59,0,0.41,0.075,0.01,BA
383,DCP,2,8.47,0,0,0.08,0,BA
384,DCP,2,9.47,0,0.405,0.08,0.005,BA
385,DCP,1,8.175,0,0,0.085,0.045,BA
386,DCP,1,6.69,0,0,0.115,0.02,BA
387,DCP,1,7.935,0,0,0.115,0.035,BA
